thin,200,250,300,350,400,450,500
3,50,50,40,40,40,40,40
4,40,40,30,20,20,20,20
5,40,40,30,20,20,20,15
6,20,20,20,20,10,10,10
7,20,20,20,10,10,10,10
8,10,10,10,10,10,10,5
9,10,10,10,10,5,5,5
10,10,10,10,10,5,5,5
